,breed,fur,fur_color,gender,life_expectancy
184,Beagles,Corto,Beige,Macho,15
185,Cocker,Largo,Café,Macho,16
186,Husky Siberiano,Corto,,,15
187,Cocker,Largo,blanco con café,Macho,15
189,husky con Alaska,Largo,,Hembra,12
190,French Minitoy,Corto,Blanco,Macho,13
191,American Bully,Corto,Beige,Hembra,12
192,Schnauzer machos y hembras,Largo,Negro,Hembra,20
193,doberman pinscher,Corto,Negro/Fuego,,13
195,Chihuahua,Corto,Negro/Fuego,Hembra,20
196,Schnauzer Mini,Corto,Blanco,Macho,17
197,Pura,Corto,Beige,Macho,14
198,Shnauzer minitoy,Largo,Blanco,Hembra,12
199,Beagle,Corto,Blanco,Hembra,15
200,Pomerania,Largo,Blanco,,16
201,Dálmata,Corto,Blanco,Hembra,18
202,Schnauzer miny,Largo,Blanco,Hembra,15
203,San Bernardo,Largo,Bicolor,,10
204,Shih Tzu,Largo,blancos y tricolores,Hembra,16
205,Chihuahua,Corto,,Hembra,20
206,Boyero de Berna,Largo,Negro,Macho,10
208,Golden Retriever,Largo,Gold,,15
209,Cocker machos y hembras,Corto,Blanco,Hembra,20
211,Golden Retriever,Largo,Dorado oscuro,Macho,18
212,Chihuahua,Corto,Negro/Fuego,Hembra,20
213,Chihuahua,Corto,Beige con Blanco,Hembra,20
214,Pug,Corto,,,15
215,Bulldog Francés,Corto,Gris oscuro,Macho,14
217,French poodle minitoy,Largo,Rojizo,Hembra,20
218,Cocker machos y hembras,Largo,dorado y blanco,Hembra,20
219,Golden Retriever,Largo,Dorado,,12
220,Schnauzer Mini,,Blanco,,
221,Shnauzer Miniatura,Corto,Salpimienta,Macho,12
223,Beagle,Corto,,Macho,12
224,Pinscher Miniatura,Corto,café,Macho,17
225,Rotwailer,Corto,Negro,Macho,15
227,Yorkies,Largo,Negro,Hembra,12
228,Bichón Maltés,Largo,Blanco,Hembra,15
230,Golden Retriever,Largo,Dorado,Macho,12
231,Golden,Largo,Dorado,Hembra,12
232,Salchichas,Corto,Negro,Macho,16
233,Schnauzer,Largo,Negro,Macho,16
234,American Bully,Corto,MERLE,Hembra,12
235,French,Corto,Chocolate,Macho,16
236,Pinscher Miniatura,Corto,café,Macho,17
237,Pinscher Miniatura,Corto,Negro,Macho,17
240,French,,Chocolate,Hembra,2
241,Alaska malamute,Largo,Negro,Macho,15
242,American Bully,Corto,Crema,Macho,22
244,French poodle mini toy,Corto,Chocolate,Hembra,15
245,French poodle machos y hembras,Largo,Chocolate,Hembra,20
247,Pitbull,Corto,Gris,Macho,8
248,Yorkies terrier,Largo,Negro,Hembra,12
249,Persa,Largo,Gris,Macho,12
